ecole	inscrits_nb	inscrits_filles	inscrits_cinq_demi	admissibles_nb	admissibles_filles	admissibles_cinq_demi	classes_nb	classes_filles	classes_cinq_demi	integres_nb	integres_filles	integres_cinq_demi	integres_rg_médian	integres_rg_moyen	places
ESME_SUDRIA_Paris										16	37.5	12.5	156	134	15	
Concours EPITA / IPSA / ESME PSI	359	27.9	16.2	269	28.3	13.4	214	29.0	12.6	52					42	
CESI_AngoulÃªme										0*	0.0	0.0	0*	0*	8*	
CESI_Arras										2*	0.0	0.0	28*	28*	10*	
CESI_Bordeaux										2*	0.0	50.0	25*	25*	8*	
CESI_Lyon										1*	0.0	0.0	26*	26*	12*	
CESI_Mont-Saint-Aignan										0*	0.0	0.0	0*	0*	8*	
CESI_Nancy										0*	0.0	0.0	0*	0*	8*	
CESI_Nanterre										3*	33.3	66.7	24*	28*	20*	
CESI_Saint-Nazaire										1*	100.0	0.0	43	43	15*	
Concours CESI IngÃ©nieur GÃ©nÃ©raliste	180*	23.3	16.7	96*	27.1	16.7	49*	26.5	22.4	9*					89*	
CESI_Aix-en-Provence										0*	0.0	0.0	0*	0*	2*	
CESI_Arras										0*	0.0	0.0	0*	0*	4*	
CESI_Bordeaux										0*	0.0	0.0	0*	0*	2*	
CESI_La_Rochelle										0*	0.0	0.0	0*	0*	2*	
CESI_Lyon										1*	0.0	0.0	3*	3*	2*	
CESI_Mont-Saint-Aignan										0*	0.0	0.0	0*	0*	2*	
CESI_Nancy										0*	0.0	0.0	0*	0*	2*	
CESI_Nanterre										0*	0.0	0.0	0*	0*	7*	
CESI_Nice_Sophia_Antipolis										0*	0.0	0.0	0*	0*	2*	
CESI_Orléans										0*	0.0	0.0	0*	0*	3*	
CESI_Pau										0*	0.0	0.0	0*	0*	2*	
CESI_Reims										0*	0.0	0.0	0*	0*	2*	
CESI_Saint-Nazaire										0*	0.0	0.0	0*	0*	2*	
CESI_Strasbourg										0*	0.0	0.0	0*	0*	2*	
CESI_Toulouse										0*	0.0	0.0	0	0	3*	
Concours CESI IngÃ©nieur en Informatique	44*	11.4	11.4	30*	13.3	6.7	17*	11.8	0.0	1*					39*	
