ecole	inscrits_nb	inscrits_filles	inscrits_cinq_demi	admissibles_nb	admissibles_filles	admissibles_cinq_demi	classes_nb	classes_filles	classes_cinq_demi	integres_nb	integres_filles	integres_cinq_demi	integres_rg_médian	integres_rg_moyen	places
ESB_Nantes	248	33.9	16.5				120	40.8	17.5	1	100.0	100.0	94	94	15	
ESTIA_Bidart	456	34.2	16.0				330	35.8	16.7	12	33.3	16.7	229	227	16	
IMT_Lille_Douai_en_Partenariat_ISPA	591	33.3	16.4				421	35.6	13.8	4	50.0	75.0	276	302	10	
ISMANS-Groupe_CESI_Le_Mans	271	30.6	16.6				258	30.6	16.7	11	18.2	36.4	209	195	15	
Paoli_Tech	425	31.3	21.4				264	28.8	21.2	2	50.0	50.0	237	237	4	
Toulouse_INP_-_ENIT	752	32.0	17.4				230	37.8	8.7	1	100.0	0.0	223	223	2	
INSA_Hauts_de_France_Informatique_et_Cybersécurité	1667	27.6	18.6				842	28.0	19.0	8	12.5	12.5	554	542	10	
INSA_Hauts_de_France_Mécanique_et_Energétique										19	57.9	15.8	741	720	25	
INSA_Hauts_de_France_Génie_Industriel										4	25.0	0.0	622	609	6	
INSA_Hauts_de_France_Mécatronique										8	12.5	0.0	609	605	9	
Concours INSA Domaine GÃ©nie mÃ©canique, gÃ©nie industriel et mÃ©catronique MP	1367	28.7	18.0				818	30.2	17.7	31					40	
INSA_Centre_Val_de_Loire_Sécurité_et_Technologies_Informatiques										3	0.0	0.0	707	631	4	
INSA_Euro-Méditerranée_Maroc_Systèmes_d'Information_et_de_Communication										0	0.0	0.0	0	0	3	
INSA_Lyon_Informatique										4	25.0	0.0	57	82	4	
INSA_Lyon_Télécommunications,_services_et_usages										3	66.7	0.0	114	124	3	
INSA_Rennes_Génie_Mathématique										1	0.0	100.0	155	155	1	
INSA_Rennes_Informatique										1	0.0	0.0	37	37	1	
INSA_Rouen_Normandie_Architecture_des_Systèmes_d'Information										3	0.0	0.0	326	271	3	
INSA_Rouen_Normandie_Génie_Mathématique										7	28.6	28.6	406	412	8	
INSA_Toulouse_Informatique_et_Réseaux										2	0.0	0.0	260	260	2	
INSA_Toulouse_Mathématiques_appliquées										5	0.0	20.0	162	172	6	
Concours INSA Domaine Informatique, mathÃ©matique, modÃ©lisation MP	1667	27.6	18.6				842	28.0	19.0	29					35	
INSA_Centre_Val_de_Loire_Génie_des_Systèmes_Industriels										4	50.0	25.0	633	611	5	
INSA_Lyon_Génie_Industriel										4	25.0	25.0	146	149	4	
INSA_Lyon_Génie_Mécanique										5	40.0	0.0	70	69	5	
INSA_Rennes_Génie_Mécanique_et_Automatique										1	0.0	0.0	371	371	1	
INSA_Rouen_Normandie_Mécanique										3	33.3	33.3	363	358	3	
INSA_Strasbourg_Génie_Mécanique										2	0.0	0.0	423	423	2	
INSA_Strasbourg_Plasturgie										1	0.0	0.0	623	623	4	
Concours INSA Domaine GÃ©nie mÃ©canique, gÃ©nie industriel et mÃ©catronique MP	1367	28.7	18.0				818	30.2	17.7	20					24	
INSA_Hauts_de_France_Génie_civil_et_bâtiment	2396	25.2	17.7				1278	25.0	20.6	5*	40.0	20.0	840	788	5*	
INSA_Hauts_de_France_Génie_civil_et_bâtiment	2294	36.4	19.4				1186	38.2	18.7	8*	37.5	0.0	925	919	8*	
INSA_Hauts_de_France_Informatique_et_Cybersécurité	3132	23.5	19.5				1047	22.4	21.7	2*	0.0	0.0	750	811	3*	
INSA_Hauts_de_France_Mécatronique										19*	0.0	10.5	1511*	1428*	16*	
INSA_Hauts_de_France_Génie_Industriel										12*	41.7	41.7	1511*	1394*	10*	
INSA_Hauts_de_France_Mécanique_et_Energétique										28*	32.1	21.4	1663	1640	35*	
Concours INSA Domaine GÃ©nie mÃ©canique, gÃ©nie industriel et mÃ©catronique PSI-PT	3281*	21.0	17.7	*			1956*	21.3	19.4	59*					61*	
ESITech_Rouen_Technologies_du_Vivant										2*	100.0	0.0	747*	747*	3*	
INSA_Lyon_Biosciences										5*	80.0	20.0	230*	211*	6*	
INSA_Toulouse_Génie__Biologique										2*	100.0	0.0	153*	153*	2*	
ISIS_Castres_Informatique_pour_la_Santé										13*	46.2	15.4	1699	1667	2*	
Concours INSA DomaineÂBiotechnologies-santÃ© MP-PC-PSI-BCPST-TPC	4009*	47.3	19.8	*			2097*	49.7	21.5	22*					13*	
INSA_Lyon_Génie_Energétique_et_Environnement										5*	40.0	20.0	266*	221*	5*	
INSA_Rouen_Normandie_Chimie_et_Procédés										3*	33.3	0.0	1046*	1037*	4*	
INSA_Rouen_Normandie_Energétique_et_Propulsion										4*	75.0	25.0	992*	885*	4*	
INSA_Rouen_Normandie_MaÃ®trise_des_Risques_Industriels										6*	33.3	16.7	1138*	1160*	6*	
INSA_Strasbourg_Génie_Climatique_et_Energétique										10*	50.0	20.0	1299*	1176*	12*	
INSA_Toulouse_Génie_des_Procédés_et_environnement										5*	40.0	40.0	750*	689*	10*	
Sup'EnR_Perpignan_Energétique_et_Energies_Renouvelables										2*	50.0	0.0	1385	1385	2*	
Concours INSA DomaineÂEnergÃ©tique â€“ GÃ©nie Chimique â€“ Environnement MP-PC-PSI	4146*	37.5	19.3	*			1506*	37.5	21.6	35*					43*	
INSA_Euro-Méditerranée_Maroc_Génie_Electrique										0*	0.0	0.0	0*	0*	3*	
INSA_Lyon_Génie_Electrique										8*	25.0	0.0	312*	295*	8*	
INSA_Rennes_Electronique_et_Informatique_Industrielle										2*	0.0	50.0	1014*	1014*	2*	
INSA_Rennes_Système_et_Réseaux_de_Communication										3*	0.0	33.3	1793*	1583*	5*	
INSA_Strasbourg_Génie_Electrique										8*	25.0	25.0	1411*	1367*	10*	
INSA_Toulouse_Automatique_et_Electronique										2*	50.0	0.0	630	643	3*	
Concours INSA Domaine GÃ©nie Ã©lectrique, Ã©lectronique, automatique MP-PC-PSI-PT	4812*	24.9	18.7	*			1964*	24.2	20.1	23*					31*	
INSA_Lyon_Génie_Civil_et_Urbanisme										7*	28.6	0.0	140*	135*	7*	
INSA_Rennes_Génie_Civil_et_Urbain										2*	50.0	50.0	387*	387*	2*	
INSA_Rouen_Normandie_Génie_Civil_et_constructions_durables										2*	100.0	50.0	760*	760*	2*	
INSA_Strasbourg_Génie_Civil										3*	33.3	0.0	815*	721*	3*	
INSA_Strasbourg_Topographie										2*	50.0	50.0	828*	732*	4*	
INSA_Toulouse_Génie_Civil										1*	0.0	0.0	243	243	1*	
Concours INSA Domaine GÃ©nie civil, urbanisme, topographie MP-PC	2294*	36.4	19.4	*			1186*	38.2	18.7	17*					19*	
INSA_Lyon_Génie_Civil_et_Urbanisme										9*	22.2	0.0	160*	156*	9*	
INSA_Rennes_Génie_Civil_et_Urbain										2*	50.0	50.0	261*	261*	2*	
INSA_Rouen_Normandie_Génie_Civil_et_constructions_durables										2*	0.0	0.0	388*	388*	2*	
INSA_Strasbourg_Génie_Civil										12*	33.3	8.3	509*	485*	12*	
INSA_Strasbourg_Topographie										10*	10.0	30.0	1008*	954*	10*	
INSA_Toulouse_Génie_Civil										1*	0.0	0.0	290	290	2*	
Concours INSA Domaine GÃ©nie civil, urbanisme, topographie PSI-PT	2396*	25.2	17.7	*			1278*	25.0	20.6	36*					37*	
INSA_Centre_Val_de_Loire_Sécurité_et_Technologies_Informatiques										2*	0.0	0.0	724*	724*	1*	
INSA_Euro-Méditerranée_Maroc_Systèmes_d'Information_et_de_Communication										0*	0.0	0.0	0*	0*	2*	
INSA_Lyon_Télécommunications,_services_et_usages										4*	25.0	0.0	254*	251*	4*	
INSA_Rennes_Informatique										1*	100.0	0.0	393*	393*	2*	
INSA_Rouen_Normandie_Architecture_des_Systèmes_d'Information										2*	0.0	50.0	541*	541*	2*	
INSA_Rouen_Normandie_Génie_Mathématique										2*	50.0	0.0	145*	145*	2*	
INSA_Toulouse_Informatique_et_Réseaux										6*	0.0	16.7	341*	325*	6*	
INSA_Toulouse_Mathématiques_appliquées										3*	33.3	0.0	392	396	3*	
Concours INSA Domaine Informatique, mathÃ©matique, modÃ©lisation PC-PSI-PT	3132*	23.5	19.5	*			1047*	22.4	21.7	20*					22*	
INSA_Centre_Val_de_Loire_Génie_des_Systèmes_Industriels										8*	50.0	12.5	1793*	1689*	18*	
INSA_Euro-Méditerranée_Maroc_Génie_Mécanique_et_Energétique										0*	0.0	0.0	0*	0*	4*	
INSA_Lyon_Génie_Industriel										8*	0.0	12.5	281*	231*	8*	
INSA_Lyon_Génie_Mécanique										28*	14.3	10.7	289*	284*	30*	
INSA_Rennes_Génie_Mécanique_et_Automatique										4*	50.0	0.0	690*	714*	4*	
INSA_Rouen_Normandie_Mécanique										2*	0.0	0.0	857*	874*	3*	
INSA_Strasbourg_Génie_Mécanique										21*	28.6	14.3	1042*	991*	22*	
INSA_Strasbourg_Mécatronique										4*	50.0	25.0	538*	525*	4*	
INSA_Strasbourg_Plasturgie										3*	33.3	0.0	1684*	1687*	14*	
INSA_Toulouse_Génie_Mécanique										3*	33.3	33.3	523	529	4*	
Concours INSA Domaine GÃ©nie mÃ©canique, gÃ©nie industriel et mÃ©catronique PSI-PT	3281*	21.0	17.7	*			1956*	21.3	19.4	81*					111*	
ESITech_Rouen_Génie_Physique										3*	100.0	0.0	1770*	1855*	4*	
INSA_Centre_Val_de_Loire_MaÃ®trise_des_Risques_Industriels										4*	50.0	0.0	2007*	1947*	23*	
INSA_Lyon_Science_et_Génie_des_Matériaux										10*	30.0	20.0	432*	351*	10*	
INSA_Rennes_Science_et_Génie_des_Matériaux										3*	100.0	33.3	1491*	1390*	3*	
INSA_Toulouse_Génie_Physique										7*	42.9	14.3	700	635	6*	
Concours INSA Domaine GÃ©nie physique et matÃ©riaux MP-PC-PSI	4540*	32.5	19.2	*			2206*	33.7	19.9	27*					46*	
ESITech_Rouen_Génie_Physique										0*	0.0	0.0	0*	0*	2*	
INSA_Centre_Val_de_Loire_MaÃ®trise_des_Risques_Industriels										1*	100.0	0.0	584*	584*	7*	
INSA_Lyon_Science_et_Génie_des_Matériaux										1*	0.0	0.0	44*	44*	1*	
INSA_Rennes_Science_et_Génie_des_Matériaux										1*	0.0	0.0	175*	175*	1*	
INSA_Toulouse_Génie_Physique										1*	100.0	0.0	33	33	1*	
Concours INSA Domaine GÃ©nie physique et matÃ©riaux TSI-PT-TPC	1609*	14.2	19.1	*			702*	13.2	21.5	4*					12*	
CESI_AngoulÃªme										1*	0.0	0.0	81*	81*	8*	
CESI_Arras										4*	25.0	0.0	131*	130*	10*	
CESI_Bordeaux										2*	0.0	50.0	141*	141*	8*	
CESI_Lyon										5*	60.0	40.0	138*	120*	12*	
CESI_Rouen										1*	0.0	0.0	68*	68*	8*	
CESI_Nancy										0*	0.0	0.0	0*	0*	8*	
CESI_Nanterre										9*	55.6	22.2	139*	122*	20*	
CESI_Nice_Sophia_Antipolis										1*	0.0	0.0	23*	23*	5*	
CESI_Saint-Nazaire										1*	100.0	100.0	156	156	10*	
Concours CESI Ecole d'IngÃ©nieurs - IngÃ©nieur GÃ©nÃ©raliste	385*	30.6	15.8	*			162*	36.4	17.3	24*					89*	
CESI_Aix-en-Provence										1*	0.0	0.0	31*	31*	2*	
CESI_Arras										1*	0.0	0.0	48*	48*	4*	
CESI_Bordeaux										1*	0.0	0.0	25*	25*	2*	
CESI_La_Rochelle										0*	0.0	0.0	0*	0*	2*	
CESI_Lille										0*	0.0	0.0	0*	0*	3*	
CESI_Lyon										0*	0.0	0.0	0*	0*	2*	
CESI_Rouen										2*	0.0	0.0	39*	39*	2*	
CESI_Nancy										1*	0.0	0.0	34*	34*	2*	
CESI_Nanterre										0*	0.0	0.0	0*	0*	7*	
CESI_Nice_Sophia_Antipolis										0*	0.0	0.0	0*	0*	2*	
CESI_Orléans										0*	0.0	0.0	0*	0*	3*	
CESI_Pau										0*	0.0	0.0	0*	0*	2*	
CESI_Reims										1*	0.0	0.0	33*	33*	2*	
CESI_Saint-Nazaire										0*	0.0	0.0	0*	0*	5*	
CESI_Strasbourg										1*	0.0	0.0	4*	4*	6*	
CESI_Toulouse										0*	0.0	0.0	0	0	3*	
Concours CESI Ecole d'IngÃ©nieurs - IngÃ©nieur en Informatique (interFilÃ¨re)	114*	11.4	7.9	*			53*	11.3	7.5	8*					49*	
EPITA										40	12.5	15.0	143	151	35	
IPSA_Paris										12	25.0	33.3	170	141	14	
IPSA_Toulouse										13	46.2	38.5	197	160	10	
ESME_SUDRIA_Paris										19	36.8	10.5	260	229	12	
Concours EPITA / IPSA / ESME MP	539	25.8	18.9				335	25.7	17.3	84					71	
